BOROUGH,LATITUDE,LONGITUDE,Filing Date,Issuance Date,Expiration Date,Permit Status,Job Type,Residential,Non-Profit,Owner's Business Name,Site Fill,Street Name
BROOKLYN,40.667744,-73.959018,2019-01-29,2019-01-29,2019-09-18,ISSUED,A2,,N,"MUSTAFA BROTHERS REALTY, LLC",NOT APPLICABLE,FRANKLIN AVENUE
BROOKLYN,40.667744,-73.959018,2019-01-11,2019-01-11,2019-01-31,ISSUED,A2,,N,"MUSTAFA BROTHERS REALTY, LLC",NOT APPLICABLE,FRANKLIN AVENUE
BROOKLYN,40.609936,-73.922281,2016-09-12,2016-09-12,2017-09-12,ISSUED,A2,,N,KINGS PLAZA MALL,,AVENUE U
QUEENS,40.727421,-73.709622,2017-01-04,2017-01-04,2018-01-04,ISSUED,A2,,N,NANCY'S FIRESIDE,NONE,JAMAICA AVENUE
MANHATTAN,40.725596,-73.983855,2016-01-29,2016-01-29,2016-03-27,ISSUED,A2,YES,N,94-96 AVE A REALTY CO,NOT APPLICABLE,AVENUE A
MANHATTAN,40.725596,-73.983855,2016-03-03,2016-03-03,2017-03-03,ISSUED,A2,YES,N,94-96 AVE A REALTY CO,NOT APPLICABLE,AVENUE A
MANHATTAN,40.725596,-73.983855,2016-03-22,2016-03-22,2017-03-22,ISSUED,A3,YES,N,106 ASTORIA BOULEVARD LLC,,AVENUE A
STATEN ISLAND,40.563805,-74.140318,2017-06-06,2017-06-06,2018-02-10,ISSUED,A2,YES,N,,NOT APPLICABLE,BLYTHE PLACE
BRONX,40.807149,-73.929969,2016-05-26,2016-05-26,2016-07-14,ISSUED,A2,YES,N,101 LINCOLN ASSOCIATES PROP. LLC,NOT APPLICABLE,LINCOLN AVENUE
BRONX,40.807149,-73.929969,2016-06-27,2016-06-27,2017-06-02,ISSUED,A2,YES,N,101 LINCOLN ASSOCIATES PROP. LLC,NOT APPLICABLE,LINCOLN AVENUE
BRONX,40.807149,-73.929969,2016-08-08,2016-08-08,2017-03-05,ISSUED,A2,,N,101 LINCOLN ASSOC. PROPERTY LLC,NOT APPLICABLE,LINCOLN AVENUE
BRONX,40.807149,-73.929969,2017-01-11,2017-01-11,2018-01-11,ISSUED,A3,,N,101 LINCOLN ASSOCIATE PROPERTY L,,LINCOLN AVENUE
BRONX,40.807149,-73.929969,2017-01-11,2017-01-11,2018-01-11,ISSUED,A3,,N,101 LINCOLN ASSOCIATE PROPERTY L,,LINCOLN AVENUE
BRONX,40.807149,-73.929969,2017-05-24,2017-05-24,2017-07-14,ISSUED,A2,YES,N,101 LINCOLN ASSOCIATES PROP. LLC,NOT APPLICABLE,LINCOLN AVENUE
BRONX,40.89891,-73.903174,2018-11-09,2018-11-09,2019-11-01,ISSUED,NB,YES,N,"CHAPEL FARM ESTATES, INC",ON-SITE,GROSVENOR AVENUE
BROOKLYN,40.686738,-73.969589,2018-11-13,2018-11-13,2019-07-18,ISSUED,NB,YES,N,DOUGLASTON DEVELOPMENT,ON-SITE,CLERMONT AVENUE
BRONX,40.89891,-73.903174,2018-10-16,2018-10-16,2019-10-16,ISSUED,A2,YES,N,"CHAPEL FARM ESTATES, INC",NOT APPLICABLE,GROSVENOR AVENUE
BROOKLYN,40.688373,-73.979605,2018-10-16,2018-10-16,2019-09-30,ISSUED,A2,,N,570 FULTON STREET PROPERTIES,NOT APPLICABLE,FULTON STREET
BROOKLYN,40.683963,-73.941124,2019-01-09,2019-03-01,2019-12-06,ISSUED,NB,YES,N,GREEN COMPLEX,USE UNDER 300 CU.YD,THROOP AVENUE
BROOKLYN,40.688373,-73.979605,2019-01-31,2019-01-31,2019-09-30,ISSUED,A2,,N,570 FULTON STREET PROPERTIES,NOT APPLICABLE,FULTON STREET
BROOKLYN,40.683963,-73.941124,2019-03-25,2019-03-25,2019-12-06,ISSUED,NB,YES,N,GREEN COMPLEX,USE UNDER 300 CU.YD,THROOP AVENUE
BROOKLYN,40.611006,-73.952372,2016-03-08,2016-03-08,2017-03-08,ISSUED,A3,YES,N,ESOD CORPORATION,,AVENUE P
BROOKLYN,40.611006,-73.952372,2016-04-05,2016-04-06,2017-04-06,ISSUED,DM,,N,ESOD CORPORATION,ON-SITE,AVENUE P
BROOKLYN,40.611006,-73.952372,2016-04-06,2016-04-06,2017-02-10,ISSUED,DM,,N,ESOD CORPORATION,ON-SITE,AVENUE P
BROOKLYN,40.611006,-73.952372,2017-03-15,2017-03-15,2018-03-15,ISSUED,DM,,N,ESOD CORPORATION,ON-SITE,AVENUE P
BROOKLYN,40.683963,-73.941124,2019-12-04,2019-12-04,2019-12-06,ISSUED,NB,YES,N,GREEN COMPLEX,USE UNDER 300 CU.YD,THROOP AVENUE
BROOKLYN,40.68255,-73.93694,2017-05-26,2017-05-26,2018-01-20,ISSUED,NB,YES,N,115 ENTERPRISES GROUP LLC,ON-SITE,MACON STREET
BROOKLYN,40.68255,-73.93694,2018-06-15,2018-06-15,2019-06-15,ISSUED,NB,YES,N,115 ENTERPRISES GROUP LLC,ON-SITE,MACON STREET
BROOKLYN,40.68255,-73.93694,2018-06-15,2018-06-15,2019-05-19,ISSUED,NB,YES,N,115 ENTERPRISES GROUP LLC,ON-SITE,MACON STREET
BROOKLYN,40.67025,-73.910895,2018-12-05,2018-12-05,2019-11-16,ISSUED,NB,,N,BROOM REALTY LLC,USE UNDER 300 CU.YD,ROCKAWAY AVENUE
BROOKLYN,40.67025,-73.910895,2018-12-05,2018-12-05,2019-11-16,ISSUED,A2,,N,BROOM REALTY LLC,NOT APPLICABLE,ROCKAWAY AVENUE
BROOKLYN,40.67025,-73.910895,2016-01-08,2016-01-08,2017-01-07,ISSUED,A2,,N,MAZEH CONSTRUCTION CORP,NOT APPLICABLE,ROCKAWAY AVENUE
BROOKLYN,40.67025,-73.910895,2016-01-14,2016-01-14,2017-01-13,ISSUED,A2,,N,BROOM REALTY LLC,NOT APPLICABLE,ROCKAWAY AVENUE
BROOKLYN,40.67025,-73.910895,2018-02-16,2018-02-16,2019-02-16,ISSUED,NB,,N,BROOM REALTY LLC,USE UNDER 300 CU.YD,ROCKAWAY AVENUE
BROOKLYN,40.67025,-73.910895,2018-02-22,2018-02-22,2019-02-22,ISSUED,NB,,N,BROOM REALTY LLC,USE UNDER 300 CU.YD,ROCKAWAY AVENUE
BROOKLYN,40.67025,-73.910895,2018-03-13,2018-03-13,2018-11-16,ISSUED,NB,,N,BROOM REALTY LLC,USE UNDER 300 CU.YD,ROCKAWAY AVENUE
BROOKLYN,40.67025,-73.910895,2018-04-17,2018-04-17,2018-11-16,ISSUED,A2,,N,BROOM REALTY LLC,NOT APPLICABLE,ROCKAWAY AVENUE
BROOKLYN,40.67025,-73.910895,2018-04-26,2018-04-26,2019-04-26,ISSUED,A2,,N,BROOM REALTY LLC,NOT APPLICABLE,ROCKAWAY AVENUE
QUEENS,40.723323,-73.729645,2017-10-05,2017-10-05,2018-02-14,ISSUED,NB,,N,BABLOO HOMES LLC,USE UNDER 300 CU.YD,93 ROAD
QUEENS,40.723323,-73.729645,2017-10-05,2017-10-05,2018-02-14,ISSUED,NB,,N,BABLOO HOMES LLC,USE UNDER 300 CU.YD,93 ROAD
QUEENS,40.723323,-73.729645,2017-10-05,2017-10-05,2018-02-14,ISSUED,NB,,N,BABLOO HOMES LLC,USE UNDER 300 CU.YD,93 ROAD
QUEENS,40.723323,-73.729645,2018-04-11,2018-04-11,2019-02-14,ISSUED,NB,,N,BABLOO HOMES LLC,USE UNDER 300 CU.YD,93 ROAD
BRONX,40.898964,-73.904577,2016-02-18,2019-05-06,2019-11-01,ISSUED,NB,YES,N,"CHAPEL FARM ESTATES, INC",ON-SITE,GROSVENOR AVENUE
BRONX,40.89891,-73.903174,2016-02-18,2016-02-18,2016-11-01,ISSUED,A2,,N,"CHAPEL FARM ESTATE, INC",NONE,GROSVENOR AVENUE
BRONX,40.898964,-73.904577,2016-02-18,2016-02-18,2016-11-01,ISSUED,A2,,N,"CHAPEL FARM ESTATE, INC",NONE,GROSVENOR AVENUE
QUEENS,40.680653,-73.796911,2016-03-23,2016-03-23,2017-03-23,ISSUED,NB,YES,N,SAME,OFF-SITE,145TH STREET
QUEENS,40.680653,-73.796911,2016-03-23,2016-03-25,2017-02-16,ISSUED,NB,YES,N,SAME,OFF-SITE,145TH STREET
QUEENS,40.680653,-73.796911,2016-04-18,2016-04-18,2017-04-18,ISSUED,NB,YES,N,SAME,OFF-SITE,145TH STREET
QUEENS,40.680653,-73.796911,2016-09-27,2016-09-27,2017-09-27,ISSUED,A2,YES,N,JOSHWANT SOOKRAJ,NOT APPLICABLE,145TH STREET
BROOKLYN,40.686738,-73.969589,2016-11-09,2016-11-09,2017-11-09,ISSUED,NB,YES,N,DOUGLASTON DEVELOPMENT,ON-SITE,CLERMONT AVENUE
BROOKLYN,40.686738,-73.969589,2016-11-18,2016-11-18,2017-11-18,ISSUED,A3,YES,N,370 CLERMONT LLC,,CLERMONT AVE
BROOKLYN,40.686738,-73.969589,2016-11-18,2016-11-18,2017-11-18,ISSUED,NB,YES,N,DOUGLASTON DEVELOPMENT,ON-SITE,CLERMONT AVENUE
BROOKLYN,40.686738,-73.969589,2016-11-18,2016-11-18,2017-11-18,ISSUED,NB,YES,N,DOUGLASTON DEVELOPMENT,ON-SITE,CLERMONT AVENUE
BROOKLYN,40.686738,-73.969589,2016-11-18,2016-11-18,2017-11-18,ISSUED,NB,YES,N,DOUGLASTON DEVELOPMENT,ON-SITE,CLERMONT AVENUE
QUEENS,40.680653,-73.796911,2017-02-08,2017-02-08,2018-02-08,ISSUED,A2,YES,N,,NOT APPLICABLE,145TH STREET
BROOKLYN,40.686738,-73.969589,2017-03-10,2017-03-10,2018-03-10,ISSUED,NB,,N,DOUGLASTON DEVELOPMENT,,CLERMONT AVENUE
QUEENS,40.75503,-73.935388,2017-05-01,2017-05-01,2018-05-01,ISSUED,A2,,N,,NOT APPLICABLE,27 ST
QUEENS,40.75503,-73.935388,2017-08-30,2017-08-30,2018-08-30,ISSUED,A2,,N,,NOT APPLICABLE,27 ST
QUEENS,40.75503,-73.935388,2017-09-26,2017-09-26,2018-01-31,ISSUED,A2,,N,,NOT APPLICABLE,27 ST
QUEENS,40.75503,-73.935388,2017-10-26,2017-10-26,2018-07-31,,A2,,N,CHILLED PROPERTIES LLC,NOT APPLICABLE,27TH STREET
BROOKLYN,40.686738,-73.969589,2017-10-30,2017-10-30,2018-10-30,ISSUED,NB,YES,N,DOUGLASTON DEVELOPMENT,ON-SITE,CLERMONT AVENUE
BROOKLYN,40.686738,-73.969589,2018-01-09,2018-01-09,2019-01-09,ISSUED,A3,YES,N,370 CLERMONT LLC,,CLERMONT AVE
BROOKLYN,40.686738,-73.969589,2018-03-06,2018-03-06,2019-03-06,ISSUED,NB,,N,DOUGLASTON DEVELOPMENT,,CLERMONT AVENUE
QUEENS,40.796664,-73.816757,2018-11-14,2018-11-14,2019-11-14,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796727,-73.816598,2018-11-21,2018-11-21,2019-11-21,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
MANHATTAN,40.768703,-73.988873,2018-10-09,2018-10-09,2019-02-07,ISSUED,A2,,N,CBS CORPORATION,NOT APPLICABLE,10TH AVENUE
MANHATTAN,40.768703,-73.988873,2018-10-09,2018-10-09,2019-02-07,ISSUED,A2,,N,CBS CORPORATION,,10TH AVENUE
QUEENS,40.796847,-73.816284,2018-11-29,2018-11-29,2019-11-29,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796847,-73.816284,2018-11-29,2018-11-29,2019-01-08,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796847,-73.816284,2018-11-29,2018-11-29,2019-01-08,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
BRONX,40.89891,-73.903174,2016-02-18,2018-05-21,2018-11-01,ISSUED,NB,YES,N,"CHAPEL FARM ESTATES, INC",ON-SITE,GROSVENOR AVENUE
QUEENS,40.796727,-73.816598,2019-01-16,2019-01-16,2019-08-29,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796787,-73.816443,2018-12-03,2018-12-03,2019-12-03,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796787,-73.816443,2019-01-16,2019-01-16,2019-08-29,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
BROOKLYN,40.657157,-73.930974,2018-12-10,2018-12-10,2019-12-10,ISSUED,A2,,N,BROOKLYN CANCER CENTER,NOT APPLICABLE,UTICA AVENUE
BROOKLYN,40.657157,-73.930974,2018-12-10,2018-12-12,2019-12-12,ISSUED,A2,,N,BROOKLYN CANCER CENTER,NOT APPLICABLE,UTICA AVENUE
QUEENS,40.79668,-73.816667,2018-10-09,2018-10-09,2019-10-09,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.79668,-73.816667,2018-10-09,2018-10-09,2019-01-08,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796847,-73.816284,2018-12-10,2018-12-10,2019-12-10,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.79668,-73.816667,2018-12-10,2018-12-10,2019-12-10,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.79668,-73.816667,2018-10-09,2018-10-09,2019-01-08,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.692075,-73.786754,2016-03-31,2016-03-31,2017-03-31,ISSUED,NB,YES,Y,UNITED CEREBRAL PALSY ASSOC.,USE UNDER 300 CU.YD,111TH AVENUE
QUEENS,40.692075,-73.786754,2016-03-31,2016-03-31,2016-05-21,ISSUED,NB,YES,Y,UNITED CEREBRAL PALSY ASSOC.,USE UNDER 300 CU.YD,111TH AVENUE
QUEENS,40.692075,-73.786754,2016-03-31,2016-03-31,2016-05-21,ISSUED,NB,YES,Y,UNITED CEREBRAL PALSY ASSOC.,USE UNDER 300 CU.YD,111TH AVENUE
QUEENS,40.692075,-73.786754,2016-03-31,2016-05-02,2016-05-21,ISSUED,NB,YES,Y,UNITED CEREBRAL PALSY ASSOC.,USE UNDER 300 CU.YD,111TH AVENUE
QUEENS,40.708211,-73.832853,2016-04-22,2016-04-27,2017-04-27,ISSUED,A2,YES,N,OWNER,OFF-SITE,83 AVE
QUEENS,40.708211,-73.832853,2016-04-22,2016-04-27,2016-12-10,ISSUED,A2,YES,N,OWNER,OFF-SITE,83 AVE
QUEENS,40.692075,-73.786754,2016-05-18,2016-05-18,2017-05-18,ISSUED,NB,YES,Y,UNITED CEREBRAL PALSY ASSOC.,USE UNDER 300 CU.YD,111TH AVENUE
QUEENS,40.692075,-73.786754,2016-05-18,2016-05-18,2017-05-18,ISSUED,NB,YES,Y,UNITED CEREBRAL PALSY ASSOC.,USE UNDER 300 CU.YD,111TH AVENUE
QUEENS,40.692075,-73.786754,2016-05-18,2016-05-18,2017-05-18,ISSUED,NB,YES,Y,UNITED CEREBRAL PALSY ASSOC.,USE UNDER 300 CU.YD,111TH AVENUE
QUEENS,40.708211,-73.832853,2016-07-07,2016-07-07,2016-12-10,ISSUED,A2,YES,N,OWNER,ON-SITE,83 AVENUE
QUEENS,40.708211,-73.832853,2016-09-01,2016-09-08,2017-06-01,ISSUED,A2,YES,N,OWNER,OFF-SITE,83 AVE
QUEENS,40.708211,-73.832853,2016-09-01,2016-09-08,2017-06-01,ISSUED,A2,YES,N,OWNER,ON-SITE,83 AVENUE
QUEENS,40.708211,-73.832853,2016-09-21,2016-09-23,2017-09-23,ISSUED,A2,YES,N,OWNER,OFF-SITE,83 AVE
QUEENS,40.669235,-73.773558,2016-09-30,2016-09-30,2017-09-30,ISSUED,NB,YES,N,,ON-SITE,LATHAM LANE
QUEENS,40.669235,-73.773558,2016-10-13,2016-10-13,2017-10-13,ISSUED,NB,YES,N,,ON-SITE,LATHAM LANE
BROOKLYN,40.657157,-73.930974,2016-10-14,2016-10-14,2016-12-10,ISSUED,A2,,N,"AKP REALTY, LLC",NOT APPLICABLE,UTICA AVENUE
QUEENS,40.708211,-73.832853,2016-10-18,2016-10-18,2017-10-18,ISSUED,NB,YES,N,OWNER,ON-SITE,83 AVE
QUEENS,40.708211,-73.832853,2016-10-18,2016-10-18,2017-04-19,ISSUED,NB,YES,N,OWNER,ON-SITE,83 AVE
QUEENS,40.708211,-73.832853,2016-10-18,2016-10-18,2017-04-19,ISSUED,NB,YES,N,OWNER,ON-SITE,83 AVE
QUEENS,40.708211,-73.832853,2016-10-18,2016-10-18,2017-04-19,ISSUED,NB,YES,N,OWNER,ON-SITE,83 AVE
QUEENS,40.692075,-73.786754,2016-10-25,2016-10-25,2017-10-25,ISSUED,NB,,Y,UNITED CEREBRAL PALSY ASSOC.,,111TH AVENUE
QUEENS,40.669235,-73.773558,2016-11-03,2016-11-03,2017-11-03,ISSUED,NB,YES,N,,ON-SITE,LATHAM LANE
QUEENS,40.669235,-73.773558,2016-11-03,2016-11-03,2017-10-07,ISSUED,NB,YES,N,,ON-SITE,LATHAM LANE
QUEENS,40.669235,-73.773558,2016-10-03,2016-11-03,2017-10-07,ISSUED,NB,YES,N,,ON-SITE,LATHAM LANE
QUEENS,40.669235,-73.773558,2017-01-24,2017-01-24,2018-01-24,ISSUED,NB,YES,N,,ON-SITE,LATHAM LANE
BROOKLYN,40.704645,-73.927087,2017-03-13,,2018-03-13,IN PROCESS,A2,,Y,MENONNITE CHRISTIAN CHURCH,NONE,MELROSE STREET
BROOKLYN,40.704645,-73.927087,2017-03-13,2017-03-13,2018-03-13,ISSUED,A2,,Y,MENONNITE CHRISTIAN CHURCH,NONE,MELROSE STREET
BROOKLYN,40.704645,-73.927087,2017-03-13,2017-03-13,2018-03-13,ISSUED,NB,,N,MENONITE REVIVAL CHURCH,NONE,MELROSE STREET
QUEENS,40.708211,-73.832853,2017-04-19,2017-04-19,2018-04-16,ISSUED,NB,YES,N,OWNER,ON-SITE,83 AVE
BROOKLYN,40.657157,-73.930974,2017-04-21,2017-04-21,2017-10-28,ISSUED,A2,,N,BROOKLYN CANCER CENTER,NOT APPLICABLE,UTICA AVENUE
BROOKLYN,40.657157,-73.930974,2017-04-24,2017-04-24,2017-10-28,ISSUED,A2,,N,"AKP REALTY, LLC",NOT APPLICABLE,UTICA AVENUE
QUEENS,40.692075,-73.786754,2017-05-22,2017-05-22,2018-05-22,ISSUED,NB,YES,Y,UNITED CEREBRAL PALSY ASSOC.,USE UNDER 300 CU.YD,111TH AVENUE
QUEENS,40.692075,-73.786754,2017-05-22,2017-05-22,2018-05-21,ISSUED,NB,YES,Y,UNITED CEREBRAL PALSY ASSOC.,USE UNDER 300 CU.YD,111TH AVENUE
BROOKLYN,40.657157,-73.930974,2017-05-26,2017-06-02,2017-10-28,ISSUED,A1,,N,BROOKLYN CANCER CENTER,NOT APPLICABLE,UTICA AVENUE
BROOKLYN,40.657157,-73.930974,2017-06-02,2017-06-02,2018-06-02,ISSUED,A1,,N,BROOKLYN CANCER CENTER,NOT APPLICABLE,UTICA AVENUE
QUEENS,40.708211,-73.832853,2017-06-09,2017-06-09,2018-06-09,ISSUED,NB,YES,N,OWNER,ON-SITE,83 AVE
BROOKLYN,40.657157,-73.930974,2017-08-01,2017-08-01,2017-10-28,ISSUED,A1,,N,BROOKLYN CANCER CENTER,NOT APPLICABLE,UTICA AVENUE
QUEENS,40.796847,-73.816284,2019-01-16,2019-01-16,2019-08-29,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796847,-73.816284,2019-01-16,2019-01-16,2019-08-29,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.79668,-73.816667,2019-01-16,2019-01-16,2019-08-29,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.708211,-73.832853,2017-10-14,2017-10-14,2018-10-14,ISSUED,A2,YES,N,OWNER,OFF-SITE,83 AVE
BROOKLYN,40.657157,-73.930974,2017-11-06,2017-11-06,2018-10-28,ISSUED,A2,,N,BROOKLYN CANCER CENTER,NOT APPLICABLE,UTICA AVENUE
QUEENS,40.796664,-73.816757,2017-11-22,2017-11-22,2018-11-22,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796664,-73.816757,2017-11-22,2017-11-22,2018-01-08,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796664,-73.816757,2017-11-22,2017-11-22,2018-01-08,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796664,-73.816757,2017-11-22,2017-11-22,2018-01-08,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796727,-73.816598,2017-11-28,2017-11-28,2018-11-28,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796727,-73.816598,2017-11-28,2017-11-28,2018-01-08,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796727,-73.816598,2017-11-28,2017-11-28,2018-01-08,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796727,-73.816598,2017-11-28,2017-11-28,2018-01-08,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796727,-73.816598,2017-12-14,2017-12-14,2018-12-14,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796664,-73.816757,2017-12-14,2017-12-14,2018-12-14,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796787,-73.816443,2017-12-14,2017-12-14,2018-12-14,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796787,-73.816443,2017-12-14,2017-12-14,2018-01-08,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796787,-73.816443,2017-12-14,2017-12-14,2018-01-08,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796787,-73.816443,2017-12-14,2017-12-14,2018-01-08,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796664,-73.816757,2018-01-03,2018-01-03,2018-08-29,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796664,-73.816757,2018-01-03,2018-01-03,2018-08-29,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796664,-73.816757,2018-01-03,2018-01-03,2018-08-29,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796727,-73.816598,2018-01-03,2018-01-03,2018-08-29,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
QUEENS,40.796727,-73.816598,2018-01-03,2018-01-03,2018-08-29,ISSUED,NB,YES,N,FULCRUM REAL STATE ADVISORS,ON-SITE,SULLIVAN DRIVE
